v0002_codigo_do_municipio,GeoSES,PRIMEIRA__VAR,SEGUNDA__VAR,TERCEIRA__VAR,educação,mobilidade,pobreza,privacao_material,riqueza,renda,segregacao,educação__VAR,mobilidade__VAR,pobreza__VAR,privacao_material__VAR,riqueza__VAR,renda__VAR,segregacao__VAR
4300851,-0.2812075109227401,P_POBREZA,MED_RENDDOM,P_SO_CARRO,63.939596373270945,0,35.79024609685237,32.021392220717175,0.5415611802029119,1735.7275645298905,0.1451271101114351,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4317608,-0.1278470954193237,P_POBREZA,MED_RENDDOM,P_SO_CARRO,63.2375072340713,0,20.553762164112523,37.963359919793675,0.7091718776259963,2157.3781089613767,0.17257828949317577,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323002,-0.14308496668848059,P_POBREZA,MED_RENDDOM,P_SO_CARRO,56.368447411454554,0,24.066463274935174,37.75838094825513,0.6783518289348365,2381.2547529437493,0.13686311426144826,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4321477,-0.2913299390081099,P_POBREZA,MED_RENDDOM,P_SO_CARRO,71.87407414654787,0,27.435585156714538,22.609687404059272,0.0,2040.7347950990188,0.18368796245258423,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4304804,0.2624687882639234,P_POBREZA,MED_RENDDOM,P_SO_CARRO,49.568521551341206,0,2.1423232861450128,55.853744189361805,0.5869263115846852,4249.818646551441,0.19601541284417756,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4304853,-0.09038405542548777,P_POBREZA,MED_RENDDOM,P_SO_CARRO,66.76655338367038,0,16.332915604702322,43.569058313811006,0.0,2713.3612450660808,0.19103966290153274,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4307864,0.15524182021997235,P_POBREZA,MED_RENDDOM,P_SO_CARRO,64.36417693139167,0,4.1370116129556,60.27667431029877,0.0,3750.205038033709,0.19749626752011196,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4307906,0.16347504946577307,P_POBREZA,MED_RENDDOM,P_SO_CARRO,50.771443175593674,0,8.355073689017978,55.80964672213753,0.836599869604358,3417.0919553252556,0.1827200460609859,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4321493,-0.26289192047102217,P_POBREZA,MED_RENDDOM,P_SO_CARRO,69.9782401939719,0,31.521962315958262,37.950065054161136,0.0,1504.8686000572407,0.16986899850782144,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4321501,-0.020199351403899724,P_POBREZA,MED_RENDDOM,P_SO_CARRO,52.99249737649278,0,16.540621060071498,41.33345696823184,0.6626416569405578,2482.7160974933468,0.18302327812798502,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4300877,-0.2159737872554267,P_POBREZA,MED_RENDDOM,P_SO_CARRO,71.5355595070711,0,16.149082115045555,34.2779530201043,0.1550209870541206,1848.258581584202,0.18252523504721552,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4300901,0.1358905958203116,P_POBREZA,MED_RENDDOM,P_SO_CARRO,64.1487106004863,0,13.116476667654844,52.50093114215455,0.7669353476730869,4170.206652018836,0.18832276907722445,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4304903,0.17925178642931794,P_POBREZA,MED_RENDDOM,P_SO_CARRO,53.71822163193076,0,9.842521127987947,62.09378620918693,0.698923297877883,3275.3008708271736,0.20013753535414658,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4304952,-0.17435007378260037,P_POBREZA,MED_RENDDOM,P_SO_CARRO,69.34223117710499,0,30.43881013410453,48.78713009491442,0.19569224378333772,1979.3277224237634,0.17048650925144493,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4305009,-0.0018324934689865069,P_POBREZA,MED_RENDDOM,P_SO_CARRO,63.33932601243049,0,22.667812980258176,44.8805630414447,1.358500968350695,2921.009363404861,0.1850016701642918,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4301008,0.053135070593773426,P_POBREZA,MED_RENDDOM,P_SO_CARRO,56.431870420514116,0,6.872867834432473,36.545692946832396,1.1513851443872412,2806.0889841128887,0.18370586100293984,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
